Current,Elevation
5.000000000000000000e-01,1.320802191153175897e+01
5.024999999999999467e-01,1.771973993450389173e+01
5.050000000000000044e-01,2.372157776702587739e+01
5.074999999999999512e-01,2.260189256538401992e+01
5.100000000000000089e-01,2.219820954493845022e+01
5.124999999999999556e-01,2.247630122439078093e+01
5.150000000000000133e-01,2.291440014990961060e+01
5.174999999999999600e-01,2.321650566211290823e+01
5.200000000000000178e-01,2.383246738298863932e+01
5.224999999999999645e-01,2.424346776755059807e+01
5.250000000000000222e-01,2.480396241709236449e+01
5.274999999999999689e-01,2.460164970838458487e+01
5.300000000000000266e-01,2.473081389522778295e+01
5.324999999999999734e-01,2.517378850170123883e+01
5.350000000000000311e-01,2.535376001256125278e+01
5.374999999999999778e-01,2.549204654935746817e+01
5.400000000000000355e-01,2.544419351690100939e+01
5.424999999999999822e-01,2.480347906570094096e+01
5.450000000000000400e-01,2.447600112770845726e+01
5.474999999999999867e-01,2.282371867561070644e+01
5.500000000000000444e-01,2.166257235101267042e+01
5.524999999999999911e-01,2.015906551697307236e+01
5.550000000000000488e-01,1.608927824553192920e+01
5.574999999999999956e-01,1.384517764718481203e+01
5.600000000000000533e-01,1.311360185830099567e+01
5.625000000000000000e-01,1.219742344444540549e+01
5.649999999999999467e-01,1.202627457771626496e+01
5.675000000000000044e-01,1.171376113519059459e+01
5.700000000000000622e-01,1.159249581461934042e+01
5.725000000000000089e-01,1.195444769095976767e+01
5.749999999999999556e-01,1.218425105017026056e+01
5.775000000000000133e-01,1.383648378729220951e+01
5.799999999999999600e-01,1.538210093323755245e+01
5.825000000000000178e-01,1.723119692153052540e+01
5.849999999999999645e-01,1.976730032431497364e+01
5.875000000000000222e-01,2.164402016605937717e+01
5.899999999999999689e-01,2.274828468725044672e+01
5.925000000000000266e-01,2.280283946113020477e+01
5.949999999999999734e-01,2.318957648493189083e+01
5.975000000000000311e-01,2.484168444091166350e+01
5.999999999999999778e-01,2.458762445382576800e+01
6.025000000000000355e-01,2.501463743925248195e+01
6.049999999999999822e-01,2.657556591987536621e+01
6.075000000000000400e-01,2.777766899412062429e+01
6.099999999999999867e-01,2.780360492670256178e+01
6.125000000000000444e-01,2.781130258750923190e+01
6.149999999999999911e-01,2.837889897182915178e+01
6.175000000000000488e-01,3.195048420788287302e+01
6.199999999999999956e-01,3.285489788345887519e+01
6.225000000000000533e-01,3.298936012582204569e+01
6.250000000000000000e-01,3.405222193396032537e+01
6.274999999999999467e-01,3.524001429283543985e+01
6.300000000000000044e-01,3.821720017338093101e+01
6.325000000000000622e-01,3.781906771001185774e+01
6.350000000000000089e-01,3.812762250898191496e+01
6.374999999999999556e-01,3.948933629425252434e+01
6.400000000000000133e-01,4.100850185883128063e+01
6.425000000000000711e-01,4.114394598106505185e+01
6.450000000000000178e-01,4.045283918659701072e+01
6.474999999999999645e-01,4.025133062867136147e+01
6.500000000000000222e-01,4.027927159123342449e+01
6.524999999999999689e-01,4.046584035307340343e+01
6.550000000000000266e-01,4.074800535478028962e+01
6.574999999999999734e-01,4.073939471005893864e+01
6.600000000000000311e-01,4.027409133725331003e+01
6.624999999999999778e-01,3.929716298194507118e+01
6.650000000000000355e-01,3.682341326740043996e+01
6.674999999999999822e-01,3.415223447777555066e+01
6.700000000000000400e-01,3.265185069008650487e+01
6.724999999999999867e-01,3.095235369428851158e+01
6.750000000000000444e-01,2.969312917564734278e+01
6.774999999999999911e-01,2.810875538408711094e+01
6.799999999999999378e-01,2.694043928127752707e+01
6.824999999999999956e-01,2.314292933390004237e+01
6.850000000000000533e-01,2.252422965057083104e+01
6.875000000000000000e-01,2.184494175521355430e+01
6.899999999999999467e-01,2.076885605498257803e+01
6.925000000000000044e-01,2.054458212008447049e+01
6.950000000000000622e-01,2.074609481492721841e+01
6.975000000000000089e-01,2.101753189904367503e+01
6.999999999999999556e-01,2.086974481994549535e+01
7.025000000000000133e-01,2.085433647806290480e+01
7.050000000000000711e-01,2.097780126336935780e+01
7.075000000000000178e-01,2.099919920291721098e+01
7.099999999999999645e-01,2.135141125296898679e+01
7.125000000000000222e-01,2.214187187636524357e+01
7.149999999999999689e-01,2.246870026177889201e+01
7.175000000000000266e-01,2.328108086133926236e+01
7.199999999999999734e-01,2.417123620098787740e+01
7.225000000000000311e-01,2.454847528527845668e+01
7.249999999999999778e-01,2.405315190675713666e+01
7.275000000000000355e-01,2.423919454185930533e+01
7.299999999999999822e-01,2.480869879389844357e+01
7.325000000000000400e-01,2.624125575963862644e+01
7.349999999999999867e-01,3.091318053748621253e+01
7.375000000000000444e-01,3.245411130926049736e+01
7.399999999999999911e-01,3.209586232809482453e+01
7.424999999999999378e-01,2.891629260902483622e+01
7.449999999999999956e-01,2.612851219784373313e+01
7.475000000000000533e-01,2.485562201765965540e+01
7.500000000000000000e-01,2.327088511030954976e+01
7.524999999999999467e-01,2.013975414347487458e+01
7.550000000000000044e-01,1.963229140185258359e+01
7.575000000000000622e-01,2.051262723222731665e+01
7.600000000000000089e-01,2.010754474778283907e+01
7.624999999999999556e-01,2.005077913238061171e+01
7.650000000000000133e-01,1.919544043931315969e+01
7.675000000000000711e-01,1.891214631663494572e+01
7.700000000000000178e-01,1.848246392520999848e+01
7.724999999999999645e-01,1.809146094319544318e+01
7.750000000000000222e-01,1.827412721128038697e+01
7.775000000000000799e-01,1.819304794948604354e+01
7.800000000000000266e-01,1.863621272610365054e+01
7.824999999999999734e-01,1.865197752190886149e+01
7.850000000000000311e-01,1.871887428988375746e+01
7.875000000000000888e-01,1.892062643094601526e+01
7.900000000000000355e-01,1.901187594768778411e+01
7.924999999999999822e-01,1.926601084605603376e+01
7.949999999999999289e-01,1.928128709032078802e+01
7.974999999999999867e-01,1.912518887188571171e+01
8.000000000000000444e-01,1.935204969234493433e+01
8.024999999999999911e-01,1.966733524856253723e+01
8.049999999999999378e-01,1.945802232900364004e+01
8.074999999999999956e-01,1.948252251080086239e+01
8.100000000000000533e-01,1.958011647538693012e+01
8.125000000000000000e-01,2.018235362598103677e+01
8.149999999999999467e-01,2.117140758201811934e+01
8.175000000000000044e-01,2.336794967149586455e+01
8.200000000000000622e-01,2.337160980430314794e+01
8.225000000000000089e-01,2.381463398948318400e+01
8.249999999999999556e-01,2.471032769136347440e+01
8.275000000000000133e-01,2.548641512216654803e+01
8.300000000000000711e-01,2.631638957571361459e+01
8.325000000000000178e-01,2.698967586299308152e+01
8.349999999999999645e-01,2.994786684064292359e+01
8.375000000000000222e-01,3.394043453935064747e+01
8.400000000000000799e-01,3.528469859346419213e+01
8.425000000000000266e-01,3.610884728478670525e+01
8.449999999999999734e-01,3.365831763882241034e+01
8.475000000000000311e-01,3.124015445860069207e+01
8.500000000000000888e-01,2.928244581812656833e+01
8.525000000000000355e-01,2.752146818112239401e+01
8.549999999999999822e-01,2.669489099440946944e+01
8.574999999999999289e-01,2.564404949752810126e+01
8.599999999999999867e-01,2.434454832445481998e+01
8.625000000000000444e-01,2.329966823390959973e+01
8.649999999999999911e-01,2.247899660185187543e+01
8.674999999999999378e-01,1.969969037511181398e+01
8.699999999999999956e-01,1.907842731635349764e+01
8.725000000000000533e-01,1.951126381057994763e+01
8.750000000000000000e-01,1.931260241804909583e+01
8.774999999999999467e-01,1.841032614628815622e+01
8.800000000000000044e-01,1.771446973461642926e+01
8.825000000000000622e-01,1.692507713099180933e+01
8.850000000000000089e-01,1.677635985325687784e+01
8.874999999999999556e-01,1.706997723554292179e+01
8.900000000000000133e-01,1.725326192546270931e+01
8.925000000000000711e-01,1.732563327285755861e+01
8.950000000000000178e-01,1.728158471350806735e+01
8.974999999999999645e-01,1.728061183768745934e+01
9.000000000000000222e-01,1.747593323461001091e+01
9.025000000000000799e-01,1.728111911929741495e+01
9.050000000000000266e-01,1.707708429187796639e+01
9.074999999999999734e-01,1.705797246996242222e+01
9.100000000000000311e-01,1.702189430303992879e+01
9.125000000000000888e-01,1.702072473953053589e+01
9.150000000000000355e-01,1.704144013836072702e+01
9.174999999999999822e-01,1.706506983031954405e+01
9.199999999999999289e-01,1.702401740111177730e+01
9.224999999999999867e-01,1.696611026780661291e+01
9.250000000000000444e-01,1.691252940996278653e+01
9.274999999999999911e-01,1.683676800641855209e+01
